result,year,size,no_datasource,no_visual,no_intera,,,,,,,
Shortlist,2022,Small,1,3,4,,,,,,,
Shortlist,2022,Big,1,4,1,,,,,,,
Shortlist,2022,Big,1,4,1,,,,,,,
Shortlist,2022,Big,1,1,1,,,,,,,
Shortlist,2022,Small,2,3,2,,,,,,,
Shortlist,2022,Big,2,3,0,,,,,,,
Shortlist,2022,Big,3,5,4,,,,,,,
Shortlist,2022,Small,3,2,1,,,,,,,
Shortlist,2022,Big,3,5,2,,,,,,,
Shortlist,2022,Big,2,4,2,,,,,,,
Shortlist,2022,Big,1,2,1,,,,,,,
Shortlist,2022,Small,1,2,1,,,,,,,
Shortlist,2022,Big,1,3,2,,,,,,,
Shortlist,2022,Big,1,2,1,,,,,,,
Shortlist,2022,Small,3,6,2,,,,,,,
Shortlist,2022,Big,1,5,2,,,,,,,
Shortlist,2022,Big,1,1,3,,,,,,,
Shortlist,2022,Small,1,4,1,,,,,,,
